ScenarioID,Query,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue truck that go behind a green vehicle in camera 3 from 17 second to 226 second, and also appear at camera 5, 2, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow SUV that move in the front of a gray vehicle in camera 1 from 25 second to 136 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow minivan that move in the back of a blue vehicle in camera 4 from 31 second to 235 second, and also appear at camera 1, 2, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown truck that move in the back of a gold vehicle in camera 5 from 55 second to 143 second, and also appear at camera 4, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey hatchback that follow a tan vehicle in camera 5 from 38 second to 223 second, and also appear at camera 4, 2, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white hatchback that move in the front of a white vehicle in camera 2 from 38 second to 193 second, and also appear at camera 5, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown SUV that are followed by a purple vehicle in camera 5 from 56 second to 230 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold truck that move in the back of a maroon vehicle in camera 3 from 57 second to 142 second, and also appear at camera 5, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan coupe that drives alongside a green vehicle in camera 5 from 21 second to 176 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow hatchback that move in the back of a green vehicle in camera 3 from 32 second to 159 second, and also appear at camera 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown truck that go behind a tan vehicle in camera 4 from 16 second to 182 second, and also appear at camera 3, 5, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the red pickup that are followed by a red vehicle in camera 3 from 22 second to 179 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the black sedan that drives alongside a black vehicle in camera 1 from 36 second to 131 second, and also appear at camera 2, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan pickup that drives alongside a gold vehicle in camera 4 from 42 second to 132 second, and also appear at camera 3, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow jeep that are followed by a gold vehicle in camera 5 from 46 second to 184 second, and also appear at camera 3, 1, 4",,,,,,,,,,,,,,,,,,,,,,,,
