ScenarioID,Query,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan van that moving in horizontal lane number 2 from bottom in camera 2 from 18 second to 126 second, and also appear at camera 3, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the yellow sedan that moving in vertical lane number 2 from right in camera 4 from 43 second to 190 second, and also appear at camera 1, 3, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gold SUV that moving in horizontal lane number 3 from bottom in camera 2 from 37 second to 202 second, and also appear at camera 4, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white wagon that moving in vertical lane number 2 from right in camera 1 from 36 second to 182 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver coupe that moving in vertical lane number 2 from left in camera 4 from 35 second to 157 second, and also appear at camera 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan minivan that moving in vertical lane number 3 from left in camera 5 from 17 second to 175 second, and also appear at camera 1, 4, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple sedan that moving in vertical lane number 3 from right in camera 1 from 28 second to 199 second, and also appear at camera 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white wagon that moving in vertical lane number 1 from left in camera 2 from 33 second to 120 second, and also appear at camera 4, 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue van that moving in vertical lane number 3 from left in camera 5 from 57 second to 222 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the gray coupe that moving in horizontal lane number 1 from top in camera 4 from 54 second to 194 second, and also appear at camera 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the tan jeep that moving in horizontal lane number 3 from bottom in camera 1 from 46 second to 151 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the purple pickup that moving in vertical lane number 3 from right in camera 1 from 22 second to 133 second, and also appear at camera 4, 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the grey SUV that moving in horizontal lane number 3 from top in camera 5 from 40 second to 227 second, and also appear at camera 3, 4, 1",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the blue wagon that moving in horizontal lane number 1 from bottom in camera 5 from 31 second to 140 second, and also appear at camera 1, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the brown sedan that moving in horizontal lane number 3 from bottom in camera 1 from 55 second to 154 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver truck that moving in horizontal lane number 1 from bottom in camera 1 from 59 second to 215 second, and also appear at camera 3, 5, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the red sedan that moving in horizontal lane number 3 from top in camera 2 from 36 second to 168 second, and also appear at camera 5",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the silver jeep that moving in vertical lane number 1 from right in camera 1 from 52 second to 151 second, and also appear at camera 3",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the white sedan that moving in horizontal lane number 1 from bottom in camera 5 from 58 second to 204 second, and also appear at camera 4, 2",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 1,"Track all the red pickup that moving in vertical lane number 3 from right in camera 5 from 41 second to 168 second, and also appear at camera 1, 2, 4",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the brown minivan that moving in horizontal lane number 2 from top in camera 6 from 27 second to 138 second, and also appear at camera 8, 9, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the black truck that moving in horizontal lane number 3 from bottom in camera 9 from 55 second to 199 second, and also appear at camera 8, 7, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the brown SUV that moving in vertical lane number 1 from right in camera 6 from 35 second to 224 second, and also appear at camera 7, 9",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue hatchback that moving in horizontal lane number 2 from top in camera 8 from 26 second to 138 second, and also appear at camera 9",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the grey truck that moving in horizontal lane number 3 from top in camera 8 from 52 second to 179 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue wagon that moving in vertical lane number 1 from left in camera 9 from 31 second to 235 second, and also appear at camera 6, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the maroon SUV that moving in vertical lane number 3 from right in camera 7 from 45 second to 230 second, and also appear at camera 6, 9, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the black truck that moving in vertical lane number 3 from left in camera 7 from 58 second to 130 second, and also appear at camera 9",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the blue minivan that moving in vertical lane number 2 from left in camera 6 from 40 second to 158 second, and also appear at camera 8, 9, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the yellow SUV that moving in vertical lane number 3 from left in camera 8 from 45 second to 146 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the maroon wagon that moving in horizontal lane number 3 from bottom in camera 7 from 52 second to 216 second, and also appear at camera 8, 9, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the white minivan that moving in horizontal lane number 1 from top in camera 7 from 39 second to 231 second, and also appear at camera 9, 6, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the silver wagon that moving in horizontal lane number 2 from bottom in camera 7 from 60 second to 143 second, and also appear at camera 9, 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gold pickup that moving in vertical lane number 2 from right in camera 8 from 20 second to 159 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the gold coupe that moving in vertical lane number 3 from left in camera 9 from 15 second to 165 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the purple hatchback that moving in vertical lane number 1 from right in camera 9 from 29 second to 179 second, and also appear at camera 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the tan hatchback that moving in vertical lane number 1 from left in camera 6 from 46 second to 161 second, and also appear at camera 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the green hatchback that moving in vertical lane number 1 from right in camera 9 from 47 second to 183 second, and also appear at camera 8, 7",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the silver van that moving in vertical lane number 3 from right in camera 7 from 18 second to 133 second, and also appear at camera 8",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 2,"Track all the silver coupe that moving in vertical lane number 2 from right in camera 7 from 19 second to 233 second, and also appear at camera 9, 8, 6",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the yellow sedan that moving in horizontal lane number 1 from top in camera 12 from 21 second to 225 second, and also appear at camera 13",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the blue hatchback that moving in vertical lane number 1 from right in camera 11 from 57 second to 170 second, and also appear at camera 15, 13",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the brown coupe that moving in horizontal lane number 3 from top in camera 12 from 45 second to 240 second, and also appear at camera 14, 15, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the purple van that moving in vertical lane number 3 from right in camera 14 from 28 second to 159 second, and also appear at camera 12, 13, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the blue van that moving in vertical lane number 1 from left in camera 15 from 15 second to 193 second, and also appear at camera 10, 14, 13",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the tan SUV that moving in horizontal lane number 1 from top in camera 15 from 18 second to 186 second, and also appear at camera 12, 13",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the green pickup that moving in vertical lane number 3 from right in camera 15 from 51 second to 195 second, and also appear at camera 11, 10, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gold coupe that moving in horizontal lane number 2 from top in camera 13 from 28 second to 154 second, and also appear at camera 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the black pickup that moving in horizontal lane number 3 from top in camera 14 from 21 second to 145 second, and also appear at camera 11, 15, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the black minivan that moving in horizontal lane number 3 from top in camera 10 from 16 second to 203 second, and also appear at camera 11, 13, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the tan truck that moving in horizontal lane number 1 from bottom in camera 15 from 53 second to 227 second, and also appear at camera 10",,,,,,,,,,,,,,,,,,,,,,,,
